30 January  / 1 / 0 / 0
31 January  / 0 / 0 / 0
01 February  / 0 / 0 / 0
02 February  / 1 / 0 / 0
03 February  / 1 / 0 / 0
04 February  / 0 / 0 / 0
05 February  / 0 / 0 / 0
06 February  / 0 / 0 / 0
07 February  / 0 / 0 / 0
08 February  / 0 / 0 / 0
09 February  / 0 / 0 / 0
10 February  / 0 / 0 / 0
11 February  / 0 / 0 / 0
12 February  / 0 / 0 / 0
13 February  / 0 / 0 / 1
14 February  / 0 / 0 / 0
15 February  / 0 / 0 / 0
16 February  / 0 / 0 / 1
17 February  / 0 / 0 / 0
18 February  / 0 / 0 / 0
19 February  / 0 / 0 / 0
20 February  / 0 / 0 / 1
21 February  / 0 / 0 / 0
22 February  / 0 / 0 / 0
23 February  / 0 / 0 / 0
24 February  / 0 / 0 / 0
25 February  / 0 / 0 / 0
26 February  / 0 / 0 / 0
27 February  / 0 / 0 / 0
28 February  / 0 / 0 / 0
29 February  / 0 / 0 / 0
01 March  / 0 / 0 / 0
02 March  / 2 / 0 / 0
03 March  / 1 / 0 / 0
04 March  / 22 / 0 / 0
05 March  / 2 / 0 / 0
06 March  / 1 / 0 / 0
07 March  / 3 / 0 / 0
08 March  / 5 / 0 / 0
09 March  / 9 / 0 / 0
10 March  / 15 / 0 / 1
11 March  / 8 / 0 / 0
12 March  / 10 / 1 / 0
13 March  / 10 / 0 / 6
14 March  / 11 / 1 / 0
15 March  / 10 / 0 / 3
16 March  / 14 / 0 / 1
17 March  / 20 / 1 / 1
18 March  / 25 / 0 / 0
19 March  / 27 / 1 / 5
20 March  / 58 / 0 / 3
21 March  / 78 / 0 / 0
22 March  / 69 / 3 / 0
23 March  / 94 / 2 / 2
24 March  / 74 / 1 / 15
25 March  / 86 / 1 / 3
26 March  / 73 / 5 / 7
27 March  / 153 / 3 / 25
28 March  / 136 / 5 / 10
29 March  / 120 / 3 / 17
30 March  / 187 / 14 / 35
31 March  / 309 / 6 / 13
01 April  / 424 / 6 / 19
02 April  / 486 / 16 / 22
03 April  / 560 / 14 / 39
04 April  / 579 / 13 / 56
05 April  / 609 / 22 / 43
06 April  / 484 / 16 / 65
07 April  / 573 / 27 / 75
08 April  / 565 / 20 / 96
09 April  / 813 / 46 / 70
10 April  / 871 / 22 / 151
11 April  / 854 / 41 / 186
12 April  / 758 / 42 / 114
13 April  / 1243 / 27 / 112
14 April  / 1031 / 37 / 167
15 April  / 886 / 27 / 144
16 April  / 1061 / 26 / 258
17 April  / 922 / 38 / 273
18 April  / 1371 / 35 / 426
19 April  / 1580 / 38 / 388
20 April  / 1239 / 33 / 419
21 April  / 1537 / 53 / 703
22 April  / 1292 / 36 / 394
23 April  / 1667 / 40 / 642
24 April  / 1408 / 59 / 484
25 April  / 1835 / 44 / 442
26 April  / 1607 / 56 / 585
27 April  / 1568 / 58 / 580
28 April  / 1902 / 69 / 636
29 April  / 1705 / 71 / 690
30 April  / 1801 / 75 / 630
01 May  / 2396 / 77 / 962
02 May  / 2564 / 92 / 831
03 May  / 2952 / 140 / 911
04 May  / 3656 / 103 / 1082
05 May  / 2971 / 128 / 1295
06 May  / 3602 / 91 / 1161
07 May  / 3344 / 104 / 1475
08 May  / 3339 / 97 / 1111
09 May  / 3175 / 115 / 1414
10 May  / 4311 / 112 / 1669
11 May  / 3592 / 81 / 1579
12 May  / 3562 / 120 / 1905
13 May  / 3726 / 137 / 1963
14 May  / 3991 / 97 / 1594
15 May  / 3808 / 104 / 2234
16 May  / 4794 / 120 / 4012
17 May  / 5049 / 152 / 2538
18 May  / 4628 / 131 / 2482
19 May  / 6154 / 146 / 3032
20 May  / 5720 / 134 / 3113
21 May  / 6023 / 148 / 3131
22 May  / 6536 / 142 / 3280
23 May  / 6667 / 142 / 2576
24 May  / 7111 / 156 / 3285
25 May  / 6414 / 150 / 3012
26 May  / 5907 / 173 / 3585
27 May  / 7246 / 188 / 3434
28 May  / 7254 / 176 / 3171
29 May  / 8138 / 269 / 11735
30 May  / 8364 / 205 / 4303
31 May  / 8789 / 222 / 4928
01 June  / 7723 / 201 / 3882
02 June  / 8812 / 222 / 4531
03 June  / 9689 / 259 / 3789
04 June  / 9847 / 274 / 4390
05 June  / 9472 / 286 / 4770
06 June  / 10408 / 297 / 5433
07 June  / 10882 / 261 / 5191
08 June  / 8536 / 271 / 5171
09 June  / 9981 / 272 / 5634
10 June  / 11156 / 358 / 6275
11 June  / 11135 / 394 / 6044
12 June  / 11306 / 388 / 7263
13 June  / 12039 / 309 / 8092
14 June  / 11405 / 324 / 7358
15 June  / 10032 / 396 / 10639
16 June  / 11086 / 2004 / 7226
17 June  / 13108 / 341 / 6890
18 June  / 13829 / 343 / 10741
19 June  / 14740 / 364 / 9029
20 June  / 15918 / 308 / 13974
21 June  / 15151 / 426 / 9075
22 June  / 13560 / 312 / 10879
23 June  / 15656 / 468 / 10462
24 June  / 16868 / 424 / 13089
25 June  / 18205 / 401 / 13983
26 June  / 18255 / 381 / 10246
27 June  / 20142 / 414 / 14229
28 June  / 19610 / 384 / 11631
29 June  / 18339 / 417 / 13497
30 June  / 18256 / 506 / 12565
01 July  / 19429 / 438 / 12064
02 July  / 21947 / 378 / 19999
03 July  / 22718 / 444 / 14417
04 July  / 24018 / 611 / 14746
05 July  / 23942 / 421 / 15829
06 July  / 22500 / 473 / 15315
07 July  / 23147 / 479 / 16836
08 July  / 25561 / 492 / 19508
09 July  / 25790 / 479 / 19408
10 July  / 27762 / 520 / 20289
11 July  / 27757 / 543 / 19981
12 July  / 29106 / 500 / 18198
13 July  / 28178 / 541 / 17683
14 July  / 29917 / 587 / 20977
15 July  / 32607 / 614 / 20646
16 July  / 35468 / 680 / 22867
17 July  / 34820 / 676 / 17476
18 July  / 37411 / 543 / 23583
19 July  / 40235 / 675 / 22730
20 July  / 36806 / 596 / 24303
21 July  / 39170 / 671 / 27589
22 July  / 45601 / 1130 / 31875
23 July  / 48443 / 755 / 33326
24 July  / 48888 / 763 / 32514
25 July  / 50072 / 703 / 37125
26 July  / 48932 / 704 / 31512
27 July  / 46484 / 642 / 34354
28 July  / 49631 / 774 / 35683
29 July  / 52479 / 775 / 32886
30 July  / 54968 / 784 / 37425
31 July  / 57486 / 764 / 36554
01 August  / 55117 / 854 / 51368
02 August  / 52672 / 760 / 40355
03 August  / 50488 / 806 / 43070
04 August  / 51282 / 849 / 51220
