State,Statecode,Active,Confirmed,Deaths,Recovered
Total,TT,609232,2030001,41673,1378642
Maharashtra,MH,146305,479779,16792,316375
Tamil Nadu,TN,53486,279144,4571,221087
Delhi,DL,10348,141531,4059,127124
Karnataka,KA,75067,158254,2897,80281
Andhra Pradesh,AP,82166,196789,1753,112870
Uttar Pradesh,UP,43654,108974,1918,63402
Gujarat,GJ,14708,67811,2579,50524
West Bengal,WB,23829,86754,1902,61023
Telangana,TG,21417,75257,601,53239
Rajasthan,RJ,13469,49418,763,35186
Bihar,BR,23939,68148,388,43820
Haryana,HR,6205,39303,458,32640
Assam,AS,15464,52818,126,37225
Madhya Pradesh,MP,8716,36564,946,26902
Odisha,OR,15370,42550,292,26888
Jammu and Kashmir,JK,7310,23454,436,15708
Kerala,KL,11983,30449,98,18333
Punjab,PB,6715,20891,517,13659
Jharkhand,JH,9017,15756,145,6594
Chhattisgarh,CT,2855,11020,77,8088
Uttarakhand,UT,3056,8623,102,5427
Goa,GA,2095,7614,66,5453
Tripura,TR,1954,5868,36,3860
Puducherry,PY,1743,4621,70,2808
Manipur,MN,1304,3217,8,1905
Himachal Pradesh,HP,1141,3047,13,1865
Ladakh,LA,411,1595,7,1177
Nagaland,NL,1752,2580,6,819
Arunachal Pradesh,AR,700,1948,3,1245
Chandigarh,CH,529,1327,20,777
Dadra and Nagar Haveli and Daman and Diu,DN,406,1415,2,997
Meghalaya,ML,640,990,5,345
Sikkim,SK,475,829,1,353
Mizoram,MZ,251,540,0,288
Andaman and Nicobar Islands,AN,752,1123,16,355
State Unassigned,UN,0,0,0,0
Lakshadweep,LD,0,0,0,0
