Total | TT | 602939 | 1996478 | 41098 | 1351987
Maharashtra | MH | 145961 | 468265 | 16476 | 305521
Tamil Nadu | TN | 53486 | 279144 | 4571 | 221087
Delhi | DL | 10348 | 141531 | 4059 | 127124
Karnataka | KA | 73957 | 151449 | 2804 | 74679
Andhra Pradesh | AP | 82166 | 196789 | 1753 | 112870
Uttar Pradesh | UP | 43654 | 108974 | 1918 | 63402
Gujarat | GJ | 14618 | 66777 | 2552 | 49607
West Bengal | WB | 22992 | 83800 | 1846 | 58962
Telangana | TG | 20358 | 73050 | 589 | 52103
Rajasthan | RJ | 13313 | 48384 | 753 | 34318
Bihar | BR | 23939 | 68148 | 388 | 43820
Haryana | HR | 6133 | 38548 | 455 | 31960
Assam | AS | 14424 | 50446 | 126 | 35893
Madhya Pradesh | MP | 8716 | 36564 | 946 | 26902
Odisha | OR | 14699 | 40717 | 280 | 25738
Jammu and Kashmir | JK | 7310 | 23454 | 436 | 15708
Kerala | KL | 11983 | 30449 | 98 | 18333
Punjab | PB | 6422 | 19856 | 491 | 12943
Jharkhand | JH | 9074 | 15130 | 142 | 5914
Chhattisgarh | CT | 2555 | 10497 | 71 | 7871
Uttarakhand | UT | 2885 | 8254 | 98 | 5233
Goa | GA | 2095 | 7614 | 66 | 5453
Tripura | TR | 1898 | 5740 | 31 | 3793
Puducherry | PY | 1743 | 4621 | 70 | 2808
Manipur | MN | 1304 | 3217 | 8 | 1905
Himachal Pradesh | HP | 1084 | 2936 | 13 | 1811
Ladakh | LA | 421 | 1592 | 7 | 1164
Nagaland | NL | 1752 | 2580 | 6 | 819
Arunachal Pradesh | AR | 642 | 1855 | 3 | 1210
Chandigarh | CH | 529 | 1327 | 20 | 777
Dadra and Nagar Haveli and Daman and Diu | DN | 406 | 1415 | 2 | 997
Meghalaya | ML | 640 | 990 | 5 | 345
Sikkim | SK | 496 | 800 | 1 | 303
Mizoram | MZ | 249 | 538 | 0 | 288
Andaman and Nicobar Islands | AN | 687 | 1027 | 14 | 326
State Unassigned | UN | 0 | 0 | 0 | 0
Lakshadweep | LD | 0 | 0 | 0 | 0
